time,epoch,accuracy,top5_accuracy,top10_accuracy,top20_accuracy,macro_recall,micro_recall,micro_precision,micro_f1,cohen_kappa,cross_entropy
2022-08-03-08:27:46.032873,0,0.4266666769981384,1,1,1,0.4266666769981384,0.4266666769981384,0.4266666769981384,0.42666664719581604,0.13999998569488525,1.0547232627868652,
2022-08-03-08:27:53.413646,1,0.6800000071525574,1,1,1,0.6800000071525574,0.6800000071525574,0.6800000071525574,0.6800000071525574,0.5200000405311584,0.9897014498710632,
2022-08-03-09:11:53.766055,0,0.5972966551780701,0.8468335270881653,0.9156297445297241,0.9540648460388184,0.11270952969789505,0.5972966551780701,0.5972966551780701,0.5972966551780701,0.5186752080917358,1.8675669431686401,
2022-08-03-09:33:54.287806,1,0.2982180118560791,0.5489761829376221,0.6605436205863953,0.7743323445320129,0.013877751305699348,0.2982180118560791,0.2982180118560791,0.2982180118560791,0.17897659540176392,3.6841137409210205,
2022-08-03-10:00:14.383050,0,0.5921818614006042,0.8452105522155762,0.9127526879310608,0.9520893692970276,0.11279444396495819,0.5921818614006042,0.5921818614006042,0.5921818614006042,0.5121701955795288,1.8864572048187256,
2022-08-03-10:22:17.853819,1,0.2770701050758362,0.49976229667663574,0.6044771075248718,0.7133969664573669,0.013636035844683647,0.2770701050758362,0.2770701050758362,0.2770701050758362,0.16125023365020752,3.940789222717285,
2022-08-03-10:44:28.466679,2,0.6270512342453003,0.8758012652397156,0.9359169602394104,0.9681060314178467,0.23625557124614716,0.6270512342453003,0.6270512342453003,0.6270512342453003,0.5480937957763672,1.4830185174942017,
2022-08-03-11:06:40.458990,3,0.6414121389389038,0.8843751549720764,0.9435400366783142,0.9730651378631592,0.28249481320381165,0.6414121389389038,0.6414121389389038,0.6414121389389038,0.5637953877449036,1.399725079536438,
2022-08-03-11:28:54.037078,4,0.5624600648880005,0.8304562568664551,0.9052279591560364,0.9507860541343689,0.21060612797737122,0.5624600648880005,0.5624600648880005,0.5624600648880005,0.46815621852874756,1.8114163875579834,
2022-08-03-11:51:10.095141,5,0.6475269794464111,0.8859325647354126,0.9438925385475159,0.9726634621620178,0.29071044921875,0.6475269794464111,0.6475269794464111,0.6475269794464111,0.5691315531730652,1.375767707824707,
2022-08-03-12:13:33.645155,6,0.6451253294944763,0.8839980959892273,0.9417121410369873,0.970778226852417,0.313739538192749,0.6451253294944763,0.6451253294944763,0.6451253294944763,0.5695928931236267,1.3991456031799316,
2022-08-03-12:36:01.920258,7,0.6391580104827881,0.8790881633758545,0.9384498000144958,0.9684913158416748,0.3181241750717163,0.6391580104827881,0.6391580104827881,0.6391580104827881,0.5634300708770752,1.443184733390808,
2022-08-03-12:58:36.826186,8,0.6359202861785889,0.8760061860084534,0.9350972771644592,0.9654256701469421,0.3067390024662018,0.6359202861785889,0.6359202861785889,0.6359202861785889,0.5611635446548462,1.4850555658340454,
2022-08-03-13:21:12.971357,9,0.6324284076690674,0.8698175549507141,0.9294496774673462,0.9613928198814392,0.2975524067878723,0.6324284076690674,0.6324284076690674,0.6324284076690674,0.5576530694961548,1.535174012184143,
2022-08-03-13:43:51.486055,10,0.6267561912536621,0.8641945123672485,0.9240971207618713,0.9572533965110779,0.29564401507377625,0.6267561912536621,0.6267561912536621,0.6267561912536621,0.5511680245399475,1.6119860410690308,
2022-08-03-14:06:31.247389,11,0.628797173500061,0.8585796356201172,0.9206544160842896,0.9547205567359924,0.29137173295021057,0.628797173500061,0.628797173500061,0.628797173500061,0.5516356825828552,1.641952633857727,
2022-08-03-14:29:08.617944,12,0.6254528760910034,0.8492516279220581,0.9105477333068848,0.9473761916160583,0.290911465883255,0.6254528760910034,0.6254528760910034,0.6254528760910034,0.5512627363204956,1.7774488925933838,
2022-08-03-14:51:49.951035,13,0.6170839071273804,0.8415875434875488,0.9037688970565796,0.9430400729179382,0.27490440011024475,0.6170839071273804,0.6170839071273804,0.6170839071273804,0.5423166751861572,1.8580031394958496,
2022-08-03-15:14:33.340105,14,0.6178953647613525,0.8410711884498596,0.9026131629943848,0.9417039752006531,0.2860437035560608,0.6178953647613525,0.6178953647613525,0.6178953647613525,0.5429878234863281,1.8886010646820068,
2022-08-03-15:37:13.854410,15,0.6198626160621643,0.8422186970710754,0.9030885696411133,0.9414580464363098,0.28311246633529663,0.6198626160621643,0.6198626160621643,0.6198626160621643,0.5457302331924438,1.8983584642410278,
2022-08-03-15:59:56.673431,16,0.6143297553062439,0.8363907337188721,0.8978589773178101,0.9376956820487976,0.2795183062553406,0.6143297553062439,0.6143297553062439,0.6143297553062439,0.5387943983078003,1.958299160003662,
2022-08-03-16:22:40.044925,17,0.6188462376594543,0.8385711312294006,0.8998098373413086,0.9392613172531128,0.2733214199542999,0.6188462376594543,0.6188462376594543,0.6188462376594543,0.5429316759109497,1.9442353248596191,
2022-08-03-16:45:25.052637,18,0.6102477312088013,0.8303988575935364,0.8935146331787109,0.9346300959587097,0.2764427661895752,0.6102477312088013,0.6102477312088013,0.6102477312088013,0.5354173183441162,2.0166571140289307,
2022-08-03-17:08:11.608318,19,0.6020836234092712,0.8232020139694214,0.8861538767814636,0.9290070533752441,0.27870407700538635,0.6020836234092712,0.6020836234092712,0.6020836234092712,0.5258885622024536,2.1088526248931885,
2022-08-03-17:30:59.262702,20,0.6124854683876038,0.8304152488708496,0.8920720219612122,0.9335972666740417,0.27153781056404114,0.6124854683876038,0.6124854683876038,0.6124854683876038,0.5355222225189209,2.0518081188201904,
2022-08-03-17:53:48.750106,21,0.6029770970344543,0.8223085403442383,0.8842357993125916,0.9262692928314209,0.2726832628250122,0.6029770970344543,0.6029770970344543,0.6029770970344543,0.5289342403411865,2.171226978302002,
2022-08-03-18:16:36.041897,22,0.6039361357688904,0.8227183818817139,0.8849981427192688,0.9273512959480286,0.27671030163764954,0.6039361357688904,0.6039361357688904,0.6039361357688904,0.5286219716072083,2.166386127471924,
